,DATE,STATION_ID,CLASS,DEPTH_M,DISSOLVED_OXYGEN_MG_L,TEMPERATURE_C,SALINITY,LON,LAT
528,07/27/92 00:00:00,A3,Surface,1.0,5.6,20.8,25.0,-73.755,40.84166666666667
531,07/27/92 00:00:00,A4,Surface,1.0,6.6,20.8,25.0,-73.735,40.87638888888889
534,07/27/92 00:00:00,H-D,Surface,1.0,5.6,21.2,25.5,-73.66000000000001,40.845
537,07/27/92 00:00:00,H-C,Surface,1.0,7.2,20.9,25.0,-73.67500000000001,40.865
540,07/27/92 00:00:00,H-C1,Surface,1.0,7.3,21.2,25.5,-73.69500000000001,40.88666666666666
543,07/27/92 00:00:00,A5,Surface,1.0,7.7,21.2,25.5,-73.68666666666667,40.89833333333333
546,07/27/92 00:00:00,H-B,Surface,1.0,7.1,21.1,25.5,-73.715,40.91333333333333
549,07/27/92 00:00:00,H-A3,Surface,1.0,6.2,20.8,25.5,-73.72,40.92333333333333
552,07/27/92 00:00:00,B1S,Surface,1.0,6.9,20.8,26.0,-73.66666666666667,40.94499999999999
557,07/27/92 00:00:00,B2,Surface,1.0,7.5,21.0,26.0,-73.65333333333334,40.935
562,07/27/92 00:00:00,B3M,Surface,1.0,7.5,21.0,25.5,-73.64500000000001,40.91999999999999
565,07/27/92 00:00:00,B4,Surface,1.0,5.8,20.6,25.5,-73.635,40.90666666666667
570,07/27/92 00:00:00,C1,Surface,1.0,7.8,20.7,26.0,-73.58,40.955
575,07/27/92 00:00:00,C2,Surface,1.0,7.4,20.6,26.0,-73.5,40.985
578,07/27/92 00:00:00,DI2,Surface,1.0,5.5,21.5,26.0,-73.76666666666667,40.89444444444445
581,07/27/92 00:00:00,DI1,Surface,1.0,5.2,21.4,26.0,-73.77333333333333,40.8925
586,08/03/92 00:00:00,A1,Surface,1.0,5.1,20.9,24.5,-73.82666666666667,40.80333333333333
591,08/03/92 00:00:00,A2M,Surface,1.0,5.6,20.9,24.5,-73.78333333333333,40.80166666666666
